Weight,SOC2,SOC2digit,SOC 2-digit,Weighted Prob,Sex,Demographic,Total,Empl (Place of Work)
618.541488622,27,27-0000,27,0.135300558,Female,Some Other Race alone,14,4571.610772647
10700.885113696,51,51-0000,51,0.784945321,Female,Hispanic or Latino,467,13632.650357796
21616.208796400,53,53-0000,53,0.759531253,Female,Native Hawaiian and Other Pacific Islander alone,172,28459.933282302
25155.474138354,41,41-0000,41,0.813025522,Female,American Indian and Alaska Native,178,30940.571305947
7461.649691616,13,13-0000,13,0.511932071,Male,White alone,5050,14575.468331404
21616.208796400,53,53-0000,53,0.759531253,Male,Asian alone,964,28459.933282302
618.541488622,27,27-0000,27,0.135300558,Female,Asian alone,119,4571.610772647
3183.108871587,33,33-0000,33,0.483380258,Female,White alone,1341,6585.103175070
25155.474138354,41,41-0000,41,0.813025522,Female,Asian alone,1276,30940.571305947
27145.127096382,35,35-0000,35,0.878750001,Male,Some Other Race alone,546,30890.614026721
3501.104176010,25,25-0000,25,0.215346609,Male,Two or More Races,237,16257.995354201
7461.649691616,13,13-0000,13,0.511932071,Female,American Indian and Alaska Native,45,14575.468331404
715.252802075,23,23-0000,23,0.359652460,Male,Asian alone,48,1988.733238020
10700.885113696,51,51-0000,51,0.784945321,Female,Two or More Races,162,13632.650357796
3183.108871587,33,33-0000,33,0.483380258,Male,Black or African American alone,443,6585.103175070
715.252802075,23,23-0000,23,0.359652460,Male,Black or African American alone,47,1988.733238020
690.674740142,17,17-0000,17,0.175803169,Male,Black or African American alone,132,3928.681976262
2724.446693760,29,29-0000,29,0.285944085,Female,Some Other Race alone,65,9527.900148769
2724.446693760,29,29-0000,29,0.285944085,Female,Native Hawaiian and Other Pacific Islander alone,43,9527.900148769
21616.208796400,53,53-0000,53,0.759531253,Female,Black or African American alone,205,28459.933282302
13134.648434139,47,47-0000,47,0.669235756,Male,American Indian and Alaska Native,294,19626.339926123
27145.127096382,35,35-0000,35,0.878750001,Male,Two or More Races,715,30890.614026721
2556.754843624,31,31-0000,31,0.437353465,Female,American Indian and Alaska Native,61,5845.969108801
261.978920084,21,21-0000,21,0.044401227,Male,Hispanic or Latino,278,5900.263132024
27145.127096382,35,35-0000,35,0.878750001,Female,American Indian and Alaska Native,232,30890.614026721
690.674740142,17,17-0000,17,0.175803169,Male,Hispanic or Latino,310,3928.681976262
2471.632447560,11,11-0000,11,0.151561956,Male,Native Hawaiian and Other Pacific Islander alone,79,16307.736491038
21616.208796400,53,53-0000,53,0.759531253,Male,Black or African American alone,1844,28459.933282302
21616.208796400,53,53-0000,53,0.759531253,Male,Hispanic or Latino,1723,28459.933282302
10700.885113696,51,51-0000,51,0.784945321,Male,Some Other Race alone,586,13632.650357796
8641.727375458,37,37-0000,37,0.735489559,Female,Native Hawaiian and Other Pacific Islander alone,67,11749.626175739
3501.104176010,25,25-0000,25,0.215346609,Female,White alone,12285,16257.995354201
7522.602437656,49,49-0000,49,0.578196662,Female,White alone,809,13010.456348920
27145.127096382,35,35-0000,35,0.878750001,Female,Hispanic or Latino,1357,30890.614026721
8641.727375458,37,37-0000,37,0.735489559,Male,Hispanic or Latino,1292,11749.626175739
715.252802075,23,23-0000,23,0.359652460,Female,Asian alone,67,1988.733238020
489.662082947,19,19-0000,19,0.192664355,Female,Black or African American alone,83,2541.529199596
690.674740142,17,17-0000,17,0.175803169,Female,Two or More Races,92,3928.681976262
8641.727375458,37,37-0000,37,0.735489559,Female,Some Other Race alone,707,11749.626175739
7467.653796800,39,39-0000,39,0.485235237,Female,Native Hawaiian and Other Pacific Islander alone,187,15389.759898941
280.365979050,45,45-0000,45,0.764941421,Male,Native Hawaiian and Other Pacific Islander alone,15,366.519541915
690.674740142,17,17-0000,17,0.175803169,Female,White alone,639,3928.681976262
2471.632447560,11,11-0000,11,0.151561956,Female,Hispanic or Latino,536,16307.736491038
261.978920084,21,21-0000,21,0.044401227,Female,Hispanic or Latino,219,5900.263132024
2556.754843624,31,31-0000,31,0.437353465,Male,Two or More Races,231,5845.969108801
10700.885113696,51,51-0000,51,0.784945321,Male,American Indian and Alaska Native,132,13632.650357796
3183.108871587,33,33-0000,33,0.483380258,Male,American Indian and Alaska Native,27,6585.103175070
2471.632447560,11,11-0000,11,0.151561956,Male,Some Other Race alone,294,16307.736491038
