SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
Community and Social Service (21-0000),"Child, Family, and School Social Workers","Child, Family, and School Social Workers (21-1021)",994.8017978,0.028,1
Community and Social Service (21-0000),Clergy,Clergy (21-2011),357.1181995,0.0081,1
Community and Social Service (21-0000),"Directors, Religious Activities and Education","Directors, Religious Activities and Education (21-2021)",207.4127048,0.025,1
Community and Social Service (21-0000),"Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, School, and Vocational Counselors (21-1012)",599.7349025,0.0085,1
Community and Social Service (21-0000),Health Educators,Health Educators (21-1091),158.3408131,0.045,1
Community and Social Service (21-0000),Healthcare Social Workers,Healthcare Social Workers (21-1022),470.0387764,0.0035,1
Community and Social Service (21-0000),Marriage and Family Therapists,Marriage and Family Therapists (21-1013),49.66889486,0.014,1
Community and Social Service (21-0000),Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers (21-1023),349.7794576,0.0031,1
Community and Social Service (21-0000),Mental Health Counselors,Mental Health Counselors (21-1014),604.6472033,0.0048,1
Community and Social Service (21-0000),Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists (21-1092),175.6493976,0.25,1
Community and Social Service (21-0000),Rehabilitation Counselors,Rehabilitation Counselors (21-1015),436.0974147,0.0094,1
Community and Social Service (21-0000),Social and Human Service Assistants,Social and Human Service Assistants (21-1093),1134.891705,0.13,1
Community and Social Service (21-0000),Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors (21-1011),362.0818648,0.033,1
Computer and Mathematical (15-0000),Actuaries,Actuaries (15-2011),31.45084153,0.21,2
Computer and Mathematical (15-0000),Computer and Information Research Scientists,Computer and Information Research Scientists (15-1111),42.14788695,0.015,2
Computer and Mathematical (15-0000),Computer Programmers,Computer Programmers (15-1131),296.2188336,0.48,2
Computer and Mathematical (15-0000),Computer Systems Analysts,Computer Systems Analysts (15-1121),810.829484,0.0065,2
Computer and Mathematical (15-0000),Database Administrators,Database Administrators (15-1141),135.5865184,0.03,2
Computer and Mathematical (15-0000),Mathematical Technicians,Mathematical Technicians (15-2091),0.552698909,0.99,2
Computer and Mathematical (15-0000),Mathematicians,Mathematicians (15-2021),3.354317877,0.047,2
Computer and Mathematical (15-0000),Network and Computer Systems Administrators,Network and Computer Systems Administrators (15-1142),540.4790573,0.03,2
Computer and Mathematical (15-0000),Operations Research Analysts,Operations Research Analysts (15-2031),161.3332294,0.035,2
